Education,Age,Genre,Origine,Domestication,VaccinationDesAnimaux,MorsureDeChien,Deces,PropagationParLesChiens,Transmission,VaccinationPreventive,Campagne,VaccinationPersonnelle,ConnaissanceAvantLaVaccination,ConnaissanceApresLaVaccination,Signes,Enrage,Medecin,FamilierAtteint,Installations,VaccinationAbordable,PreferencePourLaVaccination,ID_Repondant
C,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,Respondent263
C,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,Respondent264
C,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,Respondent265
C,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,Respondent266
C,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,Respondent267
C,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,Respondent268
C,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,Respondent269
C,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,Respondent270
C,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,1,Respondent271
C,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,Respondent272
C,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,Respondent273
C,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,Respondent274
C,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,Respondent275
C,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,Respondent276
C,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,Respondent277
C,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,Respondent278
C,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,Respondent279
C,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,Respondent280
C,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,Respondent281
C,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,Respondent282
C,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,Respondent283
C,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,Respondent284
C,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,Respondent285
C,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,Respondent286
C,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,Respondent287
C,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,Respondent288
C,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,Respondent289
C,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,Respondent290
C,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,Respondent291
C,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,1,Respondent292
C,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,Respondent293
C,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,Respondent294
C,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,Respondent295
C,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,Respondent296
C,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,2,Respondent297
C,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,Respondent298
C,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,Respondent299
C,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,Respondent300
C,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,Respondent301
C,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,Respondent302
C,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,Respondent303
C,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,Respondent304
C,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,1,Respondent305
C,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,Respondent306
A,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,Respondent307
A,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,Respondent308
A,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,Respondent309
C,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent310
C,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent311
C,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent312
A,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent313
A,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent314
A,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent315
A,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent316
A,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent317
A,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent318
A,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,Respondent319
A,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,Respondent320
C,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,Respondent321
C,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,2,Respondent322
C,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,Respondent323
C,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,Respondent324
C,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,Respondent325
F,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,Respondent326
C,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,Respondent327
C,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,Respondent328
C,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,Respondent329
C,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,Respondent330
C,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,Respondent331
C,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,Respondent332
C,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,Respondent333
C,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,Respondent334
C,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,Respondent335
C,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,Respondent336
C,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,Respondent337
C,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,Respondent338
C,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,Respondent339
C,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,Respondent340
C,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,Respondent341
C,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,Respondent342
C,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,Respondent343
C,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,Respondent344
C,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,Respondent345
C,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,Respondent346
C,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,Respondent347
C,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,Respondent348
C,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,Respondent349
C,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,Respondent350
F,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,Respondent351
F,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,Respondent352
F,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,Respondent353
F,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,2,1,Respondent354
F,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,Respondent355
F,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent356
F,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,Respondent357
F,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,Respondent358
F,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,Respondent359
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,Respondent360
F,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,2,Respondent361
F,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,Respondent362
F,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,Respondent363
F,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,Respondent364
F,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,Respondent365
F,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,Respondent366
F,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,Respondent367
F,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,Respondent368
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,Respondent369
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,Respondent370
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,Respondent371
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,Respondent372
F,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,Respondent373
F,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,Respondent374
F,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,Respondent375
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,Respondent376
F,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,Respondent377
F,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,Respondent378
M,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,Respondent379
F,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,Respondent380
F,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,2,Respondent381
F,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,Respondent382
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,Respondent383
F,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,Respondent384
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent385
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent386
F,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,Respondent387
F,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,Respondent388
F,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,Respondent389
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,Respondent390
F,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1,Respondent391
F,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,Respondent392
F,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,Respondent393
F,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,Respondent394
F,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,Respondent395
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,Respondent396
F,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,Respondent397
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,Respondent398
F,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,Respondent399
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,Respondent400
F,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,Respondent401
F,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,Respondent402
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,Respondent403
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,Respondent404
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,Respondent405
F,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,Respondent406
F,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,Respondent407
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,Respondent408
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,Respondent409
F,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,Respondent410
F,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,Respondent411
F,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,Respondent412
F,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,Respondent413
F,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,Respondent414
F,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,Respondent415
F,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,1,Respondent416
F,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,Respondent417
F,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,Respondent418
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,Respondent419
F,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,Respondent420
F,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,Respondent421
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,Respondent422
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,Respondent423
F,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,Respondent424
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,Respondent425
F,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,Respondent426
F,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,Respondent427
F,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,Respondent428
F,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,Respondent429
F,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,Respondent430
F,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,Respondent431
F,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,1,Respondent432
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent433
F,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,Respondent434
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,Respondent435
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent436
F,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,Respondent437
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent438
F,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,Respondent439
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent440
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent441
F,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,Respondent442
F,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,Respondent443
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,Respondent444
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,Respondent445
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,Respondent446
F,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,Respondent447
F,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,Respondent448
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,Respondent449
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent450
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,Respondent451
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent452
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,Respondent453
F,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,Respondent454
F,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,Respondent455
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,Respondent456
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,Respondent457
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,Respondent458
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,Respondent459
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,Respondent460
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,Respondent461
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,Respondent462
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,Respondent463
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,Respondent464
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,Respondent465
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,Respondent466
F,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,Respondent467
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,Respondent468
F,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,1,1,Respondent469
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,Respondent470
F,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,Respondent471
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,Respondent472
F,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,Respondent473
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,Respondent474
F,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,Respondent475
F,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,Respondent476
F,1,1,1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,Respondent477
F,1,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,Respondent478
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,Respondent479
B,1,2,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,Respondent480
F,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,Respondent481
F,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,Respondent482
C,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,Respondent483
C,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,Respondent484
B,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,Respondent485
F,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,Respondent486
C,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,1,Respondent487
C,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,Respondent488
C,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,Respondent489
C,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,Respondent490
C,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,Respondent491
C,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,Respondent492
C,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,Respondent493
C,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,Respondent494
C,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,Respondent495
C,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,Respondent496
C,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,Respondent497
F,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,Respondent498
C,1,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,Respondent499
C,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,Respondent500
C,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,Respondent501
C,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,Respondent502
F,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,Respondent503
F,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,Respondent504
F,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,Respondent505
F,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,Respondent506
F,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,Respondent507
F,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,Respondent508
F,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,Respondent509
F,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,Respondent510
F,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,Respondent511
F,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Respondent512
F,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,Respondent513
F,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Respondent514
F,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,Respondent515
F,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,Respondent516
C,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1,Respondent517
C,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,Respondent518
C,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,Respondent519
C,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,Respondent520
C,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,Respondent521
C,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,Respondent522
C,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,Respondent523
C,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,Respondent524
C,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,Respondent525
C,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,Respondent526
C,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1,Respondent527
C,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,Respondent528
C,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,Respondent529
C,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,Respondent530
C,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,Respondent531
C,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,Respondent532
C,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,Respondent533
C,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,Respondent534
C,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,2,1,1,2,Respondent535
C,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,Respondent536
C,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,Respondent537
C,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,1,1,2,Respondent538
