Education,Age,Genre,Origine,Domestication,VaccinationDesAnimaux,MorsureDeChien,Deces,PropagationParLesChiens,Transmission,VaccinationPreventive,Campagne,VaccinationPersonnelle,ConnaissanceAvantLaVaccination,ConnaissanceApresLaVaccination,Signes,Enrage,Medecin,FamilierAtteint,Installations,VaccinationAbordable,PreferencePourLaVaccination,ID_Repondant
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,Respondent61
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,Respondent62
F,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,Respondent63
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent64
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,Respondent65
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent66
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent67
F,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,Respondent68
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,Respondent69
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,Respondent70
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent71
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,Respondent72
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,Respondent73
F,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,Respondent74
F,1,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent75
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,Respondent76
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent77
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,Respondent78
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,Respondent79
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,Respondent80
F,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,Respondent81
F,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1,Respondent82
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,Respondent83
F,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,Respondent84
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,Respondent85
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,Respondent86
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,Respondent87
F,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,Respondent88
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,Respondent89
F,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,Respondent90
F,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,Respondent91
F,1,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,Respondent92
F,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,Respondent93
F,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,Respondent94
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,Respondent95
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent96
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent97
F,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,1,Respondent98
F,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,2,2,Respondent99
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent100
F,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,Respondent101
F,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,Respondent102
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent103
B,1,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,Respondent104
F,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,Respondent105
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,Respondent106
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,Respondent107
B,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,Respondent108
B,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,Respondent109
B,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,Respondent110
B,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,Respondent111
B,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,Respondent112
B,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,Respondent113
B,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,Respondent114
B,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,Respondent115
B,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,Respondent116
B,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,Respondent117
B,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,Respondent118
B,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,Respondent119
B,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,Respondent120
B,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,Respondent121
B,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,Respondent122
B,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,Respondent123
B,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,Respondent124
M,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,Respondent125
A,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,Respondent126
A,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,Respondent127
M,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,Respondent128
A,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,Respondent129
F,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,Respondent130
F,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,Respondent131
F,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,Respondent132
F,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,Respondent133
F,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,Respondent134
F,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,Respondent135
F,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,Respondent136
F,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,Respondent137
F,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1,Respondent138
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,Respondent139
F,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,Respondent140
F,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,Respondent141
F,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,Respondent142
F,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,1,1,Respondent143
F,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,Respondent144
F,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Respondent145
F,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,Respondent146
